,会社名,求人タイトル,項目C
768,Technogram株式会社 | ＜大手～中小まで、業界も多種多様！＞★年収700万円以上も可,制作部門の中心メンバーへ【WEBディレクター】★20代30代活躍中 正社員,
769,クラサポ株式会社 | ★年間休日120日 ★土日祝休み ★リモートOK ★勤務時間自由,【Webデザイナー】スタートメンバー募集★ゼロイチを楽しもう！ 正社員,
770,アサヒオリオン飲料株式会社 | フレックスタイムやテレワーク等、働きやすい体制づくりに注力！,アサヒ飲料グループで安定感抜群【総合職(物流管理)】年休118日 正社員,
771,株式会社クラウディオサステナビリティ | 土日休み・年休120日以上・フレックスタイム制・リモートOK,スタートアップでDXを推進！企業のSDGs支援【コンサル系総合職】 正社員,
772,株式会社KDS | 業績好調により増員募集！官公庁や大手企業と直接取引が強み,【Webデザイナー】月給30万円～/年休120日以上/リモートワーク可 正社員,
773,株式会社グッドウェーブ | 残業少なめ／リモート約8割／年休126日以上／離職率はほぼゼロ！,【SE】★経験者は月給33万円～55万円！案件は自分で決められる！ 正社員,
774,株式会社ピースワン | 東京海上日動 TOP QUALITY代理店／【大阪府緊急雇用対策に賛同】,お客様と親身に向き合える【営業】★健康経営優良法の認定企業 正社員,
775,新家会計事務所 | 試験日休暇有【大阪府緊急雇用対策に賛同】,【税理士アシスタント】★年間休日125日 ★残業月10～15h程度 正社員,
776,サーベイサンプリングジャパン合同会社 | 世界最大級の市場調査会社、米国「Dynata社」の日本法人,"世界が舞台！""市場調査""で課題解決に導く【法人営業】 正社員",
777,株式会社サナス | 【 創業85周年 鹿児島を代表する優良企業 】★4/1までの入社予定,希少な食品素材メーカー【ルート営業】土日祝休/賞与5.35ヶ月分 正社員,
778,株式会社ジスクリエーション | フレックスタイム制◆年休120日以上◆web面接実施◆未経験者歓迎,大切なお客様へ心を込めて送り出す【 ECショップの商品管理 】 正社員,
779,太栄コンサルタンツ株式会社 | 〔 無借金経営・信頼と実績で取引安定 〕＃若手育成枠の募集！,【土木設計】★経験がない方も、実務をイチから教えます！ 正社員,
780,株式会社IN3F | ◎WEB制作・インフルエンサー育成などの領域で成長中◎年休120日,営業・広告運用経験が活かせる【マーケティング/分析】土日休み 正社員,
781,トライアロー株式会社 | 全国8拠点｜設立より黒字経営を継続中｜新生活サポート制度あり,リモート案件多数★【ITエンジニア(システム開発)】※年休127日 正社員,
782,セレンディップ・テクノロジーズ株式会社 | ★賞与昨年度実績4ヶ月分 ★男性の育休実績あり★年休123日以上,リモート業務が約9割！【エンジニア】※経験が浅い方も歓迎 正社員,
783,株式会社ベストワン | 【売上絶好調！自社ECサイトをより魅力に！】＊横浜健康経営認証,売上も働きやすさもTOPクラス！【WEBデザイナー】★残業ほぼゼロ 正社員,
784,株式会社エヌディーヴイ | 年休121日以上・完全週休2日制／映像編集★映像制作プロ集団,映像×デジタルコンテンツを編集する【デザイナー】実務未経験OK 正社員,
785,株式会社フィネス | 転勤なし｜博多駅～徒歩圏内｜営業電話やノルマ、残業なし！,未経験OK【お問い合わせ対応スタッフ】★リモートワーク推進中 正社員,
786,LISUTO株式会社 | 『佐川急便』と資本業務提携を締結★土日祝休み★年休120日以上,＼EC時代にニーズ大／自社サービスの【法人営業】★フルリモート 正社員,
787,スカリー株式会社 | 人気作品多数！CM・ドラマ・映画・MV制作を支える成長企業,急成長中のエンタメ企業をもっと盛り上げる！【人事】★未経験OK 正社員,
788,株式会社ワコー | 【熊本県のSDGs登録企業】社員満足度◎ 40代、50代活躍中！,【総合職(測量/土木設計)】★土日祝休み/年間休日126日/年齢不問 正社員,
789,株式会社ピーアールハウス | ★大手企業・新聞社・出版社と取引★年休約130日/残業月約30h,デジタルはもちろん、紙の経験がある【編集者】 正社員,
790,サーベイサンプリングジャパン合同会社 | 世界最大級の市場調査会社、米国「Dynata社」の日本法人,市場調査の【プロジェクト進行管理】★マネージャ候補採用！ 正社員,
791,スカリー株式会社 | 人気作品多数！CM・ドラマ・映画・MV制作を支える成長企業,次の10年を創る！エンタメの未来を切り拓く【総務】★未経験歓迎 正社員,
792,株式会社センタード | 【業界NO.1のネットコンサルタント会社を目指す成長企業】,データ分析を駆使し市場価値の高い人材へ【Webコンサルタント】 正社員,
793,サミーデジタルセキュリティ株式会社 | ゲーム・パチンコ好き大集合！,【プログラマー】安定企業／土日休み／正社員登用あり 契約社員,
794,株式会社トラストワークス | エンジニアファーストを徹底！経験者が思わず唸る環境があります,【ITエンジニア】月給40万～確約★還元率70%以上★案件選択制★ 正社員,
795,株式会社アンカーリサイクルポート | 今話題のSDGｓ事業を展開／5年間で退職者ゼロの高定着率な職場♪,安定性抜群！【100％反響型のルート営業】★賞与年4.2か月分 正社員,
796,日興ビジネスサポート株式会社 | 完全週休二日／年間休日125日／案件によりフルリモートもOK,【インフラエンジニア】年休125日／テレワーク案件多数 正社員,
797,株式会社リベルタ | 【JASDAQ上場】機能衣料・コスメ・日用雑貨・時計等のメーカー,ライフスタイル製品の【OEM営業】*早期キャリアUP *リモート勤務 正社員,
798,株式会社イトー | <大手企業と取引多数>★コロナ禍でも成長を遂げる専門商社,営業経験を活かす【海外営業】★残業月平均20h以下★土日祝休み 正社員,
799,株式会社セシール | 東証一部上場ノジマグループ|「セシール～♪」のCМでおなじみ！,＼上場グループで新体制を創る／【人事・採用・総務】※土日祝休 正社員,
800,トムラ・ジャパン株式会社 | 一部上場・住友商事グループの基盤／テレワークあり／年休124日,安定企業でキャリアアップ！【社内SE】★残業月10h以下/土日祝休 正社員,
801,アクア急便株式会社 | 年間休日115日｜大阪府緊急雇用対策に賛同,未経験で月給25万円～！アクアクララの【ルート配達ドライバー】 正社員,
802,株式会社フィネス | 博多駅から徒歩圏内｜基本残業なし｜女性管理職の割合は38％,【 経理事務 】★必須：経理業務の経験★基本残業なし！ 正社員,
803,株式会社レクストカスタマーサービス | 【2017年設立のベンチャー企業】■フルリモートOK■未経験歓迎,新規事業の【コールセンタースタッフ】■年休123日■残業ほぼ0 正社員,
804,エコスタッフ・ジャパン株式会社 | 官公庁からの依頼も多数★プライベートと仕事を両立,【事務局スタッフ】未経験歓迎★リモートワーク可！ 正社員,
