,会社名,求人タイトル,項目C
148,株式会社アライブ．ｃｏｍ | 入社祝金10万円★年休130日★フルリモート案件あり,"前職より""増給保証""【SE/PG】★独立支援制度★リモートワークOK 正社員",
149,株式会社イーエフユーアドウィス | 残業は月平均8H／年間休日125日【大阪府緊急雇用対策に賛同】,未経験歓迎！自社開発案件あり【ITエンジニア】有給取得率85％ 正社員,
150,株式会社スペース設計 | ～創立50年の安定した経営基盤が強み～＊週2で在宅勤務実施中,成長もやりがいも感じられる【 CAD事務 】★未経験OK★土日休み 正社員,
151,ラーニンギフト株式会社 | バリエーション豊かな案件あり！確かな技術で進化する成長企業,【開発エンジニア】入社祝金★PJ手当月平均6万★昇給有★残業少 正社員,
152,株式会社スタッフサービス | <女性活躍中>充実のサポート制度♪土日祝休み★基本定時退社,未経験から手に職を★基礎から学べる環境【経理事務】※在宅あり 正社員,
153,株式会社マークス | ★大手町駅直結のキレイなオフィス★年休120日以上★土日祝休み,【ITサポート事務】2カ月の社内研修で未経験から安心スタート！ 正社員,
154,Microworld株式会社 | <育成枠採用>★年休120日以上(土日祝休み)★有給取得率70％以上,【ITエンジニア】★経験浅めも大歓迎！★テレワーク9割以上 正社員,
155,株式会社Rivho | ゼロから成長できる場所＊年休125日＊土日祝日休み＊在宅勤務可,考えるチカラから身につけ、将来も活躍できる【ITエンジニア】 正社員,
156,株式会社T-TOP | 昇給年2回／平均月収48万円【大阪府緊急雇用対策に賛同】,完全週休2日制＆月給25万円～！【営業スタッフ】※大阪限定募集 正社員,
157,株式会社ジーエヌエス・ジャパン | ★産休育休取得実績多数★復帰率100％★お祝い金なども多彩★,【事務】★未経験歓迎★完全週休2日制(土日祝)★手当充実♪ 正社員,
158,ホーチキ株式会社 | 東証一部企業／防災機器メーカーのリーディングカンパニー,開発経験を活かせる【SAPエンジニア】高待遇でお迎え◎土日祝休 正社員,
159,株式会社アイフリークモバイル | ＜JASDAQ上場＞年間休日125日以上／残業月平均5～10h程度,35歳以下の育成枠採用！PCが家にない方もOK【ITエンジニア】 正社員,
160,株式会社近代設計 | 東証一部上場 E・Jホールディングス のグループ企業◆定着率抜群,【建設コンサルタント】残業月20h程度★賞与6ヶ月★完全週休2日 正社員,
161,株式会社スタジオワンオアエイト | ★フレックスタイム制／現在、完全リモートワーク中！★,ゲーム制作【総合職】新作『LOST EPIC(ロストエピック)』も誕生 正社員,
162,株式会社スタジオワンオアエイト | ★フレックスタイム制／現在、完全リモートワーク中！★,２D・3D【総合職】新作『LOST EPIC(ロストエピック)』も誕生 正社員,
163,株式会社バウテックグループ | ◎東証2部上場グループ企業◎月給26.1万円以上◎在宅勤務あり,マンションリノベーション【建築施工管理】◎年休122日 正社員,
